id,key,value,type
27090054,id,1380951,gnis
27090054,is_in,"Texas, United States of America, TX, USA",regular
27090054,continent,North America,is_in
27090054,name,San Antonio,regular
27090054,ja,サンアントニオ,name
27090054,kn,ಸಾನ್ ಆಂಡೋನ್ಯೋ,name
27090054,ko,샌안토니오,name
27090054,ms,San Antonio,name
27090054,ru,Сан-Антонио,name
27090054,zh,圣安东尼奥,name
27090054,place,city,regular
27090054,population,1327427,regular
27090054,date,2010,population
27090054,population,US Census 2010,source
27090054,wikidata,Q975,regular
27090054,wikipedia,en:San Antonio,regular
149452644,highway,turning_circle,regular
149453259,highway,motorway_junction,regular
149453259,noref,yes,regular
149453416,highway,motorway_junction,regular
149453416,noref,yes,regular
149453987,power,tower,regular
149453989,power,tower,regular
149453998,power,tower,regular
149453999,power,tower,regular
149454000,power,tower,regular
149454001,power,tower,regular
149454002,power,tower,regular
149454003,power,tower,regular
149454005,power,tower,regular
149454227,highway,motorway_junction,regular
149454231,highway,motorway_junction,regular
149454231,ref,145A,regular
149454734,highway,traffic_signals,regular
149454743,highway,traffic_signals,regular
149454842,highway,motorway_junction,regular
149454842,noref,yes,regular
149455030,highway,turning_circle,regular
149455345,highway,motorway_junction,regular
149455345,noref,yes,regular
149455357,highway,traffic_signals,regular
149455565,highway,motorway_junction,regular
149455565,noref,yes,regular
149456348,railway,level_crossing,regular
149456407,railway,level_crossing,regular
149456412,railway,level_crossing,regular
149456681,highway,motorway_junction,regular
149456681,ref,137,regular
149456804,highway,motorway_junction,regular
149456804,ref,166,regular
149456954,highway,motorway_junction,regular
149456954,ref,154A,regular
149457188,highway,motorway_junction,regular
149457188,ref,569C,regular
149457194,highway,motorway_junction,regular
149457194,noref,yes,regular
149457208,highway,traffic_signals,regular
149457698,highway,motorway_junction,regular
149457698,noref,yes,regular
149457704,highway,motorway_junction,regular
149457704,ref,158A,regular
149457834,material,metal,regular
149457834,power,tower,regular
149457834,structure,tubular,regular
149458123,highway,traffic_signals,regular
149458198,highway,motorway_junction,regular
149458198,ref,167A,regular
149458298,power,tower,regular
149458428,highway,motorway_junction,regular
149458428,ref,560,regular
149458454,highway,motorway_junction,regular
149458454,ref,560B,regular
149458714,highway,motorway_junction,regular
149458714,ref,140A,regular
149458751,highway,motorway_junction,regular
149458751,ref,574,regular
149459477,highway,motorway_junction,regular
149459477,noref,yes,regular
149459487,highway,motorway_junction,regular
149459487,noref,yes,regular
149459565,highway,motorway_junction,regular
149459565,noref,yes,regular
149460203,highway,motorway_junction,regular
149460203,noref,yes,regular
